Fiyat,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Kimden,Orjinal,Lokal boyalı,Boyalı,Değişmiş,Belirtilmemiş,Üretim Yılı (İlk/Son),Sınıfı,Ortalama Kasko,Ortalama Trafik Sigortası,Silindir Sayısı,Tork,Maksimum Güç,Minimum Güç,Hızlanma (0-100),Maksimum Hız,Ortalama Yakıt Tüketimi,Şehir İçi Yakıt Tüketimi,Şehir Dışı Yakıt Tüketimi,Uzunluk,Genişlik,Yükseklik,Ağırlık,Boş Ağırlığı,Koltuk Sayısı,Bagaj Hacmi,Ön Lastik,Aks Aralığı
2.700.000 TL,22 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2025,6.100 km,Otomatik,Hibrit,SUV,Gri (metalik),1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.299.000 TL,22 Şubat 2026,Nissan,Qashqai,1.2 DIG-T Sky Pack,2016,110.000 km,Otomatik,Benzin,SUV,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.400.000 TL,22 Şubat 2026,Nissan,Navara,2.3 dCi 4x2,2017,85.000 km,Düz,Dizel,Hard top,Beyaz,2298 cc,160 hp,Arkadan İtiş,"6,4 lt",80 lt,1 lokal boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sol Arka Çamurluk,-,-,-,2016 - 2019,K Segment,,,4.0,403 nm,3750 rpm,1500 rpm,"12,1 sn",172 km/s,"6,4 lt",7 lt,"6,1 lt",5300 mm,1850 mm,1790 mm,3010 kg,1913 kg,5.0,,255/70 R16,3150.0
830.500 TL,22 Şubat 2026,Nissan,Navara,2.5 TDI 4x2 SE,2013,230.000 km,Düz,Dizel,Hard top,Beyaz,2488 cc,163 hp,Arkadan İtiş,"8,3 lt",80 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2011 - 2014,K Segment,,,4.0,403 nm,4000 rpm,2000 rpm,12 sn,172 km/s,"8,3 lt","10,6 lt",7 lt,5396 mm,1848 mm,1790 mm,2805 kg,1960 kg,5.0,905 lt,257/70 R16,3200.0
930.000 TL,22 Şubat 2026,Nissan,Juke,1.5 dCi Skypack,2015,130.188 km,Düz,Dizel,Crossover,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,1 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Motor Kaputu,-,-,,,,,,,,,,,,,,,,,,,,,,
1.180.000 TL,22 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2017,230.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,3 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Ön Kapı Sağ Ön Çamurluk Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Çamurluk Sol Arka Kapı Motor Kaputu,-,-,,,,,,,,,,,,,,,,,,,,,,
2.425.000TL,25 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2024,19.000 km,Otomatik,Benzin,SUV,Lacivert,,,Önden Çekiş,,,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.610.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2018,150.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"4,7 lt",55 lt,Tamamı orjinal,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2017 - 2018,H Segment,17.538TL,12.022TL,4.0,320 nm,4000 rpm,1750 rpm,"11,1 sn",183 km/s,"4,7 lt","5,3 lt","4,4 lt",4394 mm,1806 mm,1590 mm,2036 kg,1492 kg,5.0,401 lt,215/60 R17,2646.0
799.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 Tekna,2007,250.000 km,Düz,LPG & Benzin,SUV,Gri,1598 cc,115 hp,Önden Çekiş,"6,7 lt",65 lt,2 lokal boyalı,Sahibinden,-,Arka Kaput Sağ Ön Çamurluk,-,-,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,2007 - 2014,I Segment,13.348TL,11.525TL,4.0,156 nm,6000 rpm,4400 rpm,12 sn,175 km/s,"6,7 lt","8,4 lt","5,7 lt",4315 mm,1780 mm,1615 mm,1830 kg,1297 kg,5.0,410 lt,215/65 R16,2630.0
600.000TL,25 Şubat 2026,Nissan,Navara,2.5 TDI 4x2 SE,2008,304.000 km,Düz,Dizel,Hard top,Siyah,2488 cc,144 hp,Arkadan İtiş,"9,1 lt",80 lt,3 boyalı,Sahibinden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon,-,Sol Arka Çamurluk Sol Ön Çamurluk Arka Tampon,-,-,2008 - 2010,K Segment,,,4.0,356 nm,4000 rpm,2000 rpm,"12,7 sn",170 km/s,"9,1 lt","10,9 lt",8 lt,5220 mm,1850 mm,1766 mm,2812 kg,1948 kg,5.0,1077 lt,255/70 R16,3200.0
865.000TL,25 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna Pack,2012,180.000 km,Düz,Dizel,SUV,Bordo,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,3 boyalı,Sahibinden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Arka Kaput Sol Ön Kapı Sol Ön Çamurluk,-,-,2010 - 2012,H Segment,13.348TL,13.286TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
1.668.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 dCi Sky Pack,2018,72.000 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,"1 değişen, 1 boyalı",Galeriden,Sağ Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Çamurluk,Arka Kaput,-,,,,,,,,,,,,,,,,,,,,,,
1.120.000TL,25 Şubat 2026,Nissan,Qashqai,1.2 DIG-T Sky Pack,2016,197.000 km,Otomatik,Benzin,SUV,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
589.900TL,25 Şubat 2026,Nissan,Skystar,4x2,2006,280.000 km,Düz,Dizel,SUV,Gri,2001 - 2500 cm3,126 - 150 HP,Arkadan İtiş,,,4 boyalı,Galeriden,Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Sağ Arka Çamurluk Sol Arka Çamurluk Sol Ön Kapı Sol Ön Çamurluk,-,-,,,,,,,,,,,,,,,,,,,,,,
2.195.000TL,25 Şubat 2026,Nissan,Qashqai,1.3 DIG-T N-Connecta,2024,22.000 km,Otomatik,Benzin,SUV,Beyaz,1332 cc,158 hp,Önden Çekiş,"6,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,H Segment,18.751TL,15.591TL,4.0,270 nm,5500 rpm,1800 rpm,"9,2 sn",199 km/s,"6,4 lt","7,9 lt","5,4 lt",4425 mm,1848 mm,1625 mm,1981 kg,1450 kg,5.0,449 lt,235/50 R19,2665.0
1.490.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 dCi Platinum Premium Pack,2016,128.000 km,Otomatik,Dizel,SUV,Beyaz,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,1 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Arka Kapı,-,-,2014 - 2017,H Segment,17.977TL,11.055TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,215/60 R17,2646.0
1.265.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 dCi Black Edition,2015,155.000 km,Düz,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,2 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Ön Kapı Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Kapı Sağ Ön Çamurluk,-,-,,,,,,,,,,,,,,,,,,,,,,
2.050.000TL,25 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2023,79.000 km,Otomatik,Benzin,SUV,Gri,1201 - 1400 cm3,151 - 175 HP,AWD (Elektronik),,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
2.699.000TL,25 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Platinum,2025,26.958 km,Otomatik,Hibrit,SUV,Kırmızı,1332 cc,158 hp,Önden Çekiş,"6,4 lt",55 lt,Tamamı orjinal,Yetkili Bayiden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,H Segment,18.751TL,15.591TL,4.0,270 nm,5500 rpm,1800 rpm,"9,2 sn",199 km/s,"6,4 lt","7,9 lt","5,4 lt",4425 mm,1848 mm,1625 mm,1981 kg,1450 kg,5.0,449 lt,235/50 R19,2665.0
912.750TL,25 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna Sport Pack,2012,169.000 km,Düz,Dizel,SUV,Siyah,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2012 - 2014,H Segment,15.761TL,13.508TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
2.095.000TL,25 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2023,38.000 km,Otomatik,Hibrit,SUV,Kırmızı,1201 - 1400 cm3,151 - 175 HP,AWD (Elektronik),,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.725.000TL,25 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna,2019,87.000 km,Yarı Otomatik,Dizel,SUV,Beyaz,1461 cc,115 hp,Önden Çekiş,4 lt,55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2019 - 2021,H Segment,16.546TL,11.594TL,4.0,260 nm,3750 rpm,1750 rpm,13 sn,183 km/s,4 lt,"4,5 lt","3,8 lt",4394 mm,1806 mm,1590 mm,1945 kg,1400 kg,5.0,401 lt,215/60 R17,2646.0
1.365.000TL,25 Şubat 2026,Nissan,Qashqai,1.2 DIG-T Sky Pack,2016,149.000 km,Otomatik,Benzin,SUV,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
1.275.000TL,25 Şubat 2026,Nissan,Qashqai,1.2 DIG-T Visia,2018,60.000 km,Otomatik,Benzin,SUV,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,,,1 değişen,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Arka Tampon,-,-,Ön Tampon,-,,,,,,,,,,,,,,,,,,,,,,
820.000TL,25 Şubat 2026,Nissan,Qashqai,1.5 dCi Visia,2012,198.000 km,Düz,Dizel,SUV,Beyaz,1461 cc,106 hp,Önden Çekiş,"5,4 lt",65 lt,1 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Sol Ön Çamurluk,-,-,2008 - 2014,I Segment,13.348TL,13.286TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",174 km/s,"5,4 lt","6,2 lt",5 lt,4315 mm,1780 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
1.215.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 dCi Design Pack,2017,105.000 km,Otomatik,Dizel,SUV,Gri,1598 cc,130 hp,Önden Çekiş,"4,7 lt",55 lt,"3 değişen, 1 boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Tavan Sol Arka Kapı Sol Ön Kapı Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sağ Ön Çamurluk,Sağ Arka Kapı Sağ Ön Kapı Motor Kaputu,-,2017 - 2018,H Segment,17.538TL,12.022TL,4.0,320 nm,4000 rpm,1750 rpm,"11,1 sn",183 km/s,"4,7 lt","5,3 lt","4,4 lt",4394 mm,1806 mm,1590 mm,2036 kg,1492 kg,5.0,401 lt,215/55 R18,2646.0
860.000TL,25 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna Sport Pack,2013,190.000 km,Düz,Dizel,SUV,Füme,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,2 lokal boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,Sol Arka Kapı Sol Ön Kapı,-,-,-,2012 - 2014,H Segment,15.761TL,13.508TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
1.150.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 dCi Black Edition,2014,219.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Motor Kaputu,-,-,,,,,,,,,,,,,,,,,,,,,,
681.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 Tekna,2010,310.000 km,Düz,Benzin,SUV,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,"1 değişen, 1 boyalı",Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Sol Ön Çamurluk,Arka Kaput,-,,,,,,,,,,,,,,,,,,,,,,
855.000TL,25 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna Sky Pack,2013,198.200 km,Düz,Dizel,SUV,Beyaz,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,"2 boyalı, 2 lokal boyalı",Galeriden,Arka Kaput Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,Sağ Arka Çamurluk Sol Arka Çamurluk,Sağ Arka Kapı Sol Ön Çamurluk,-,-,2012 - 2014,H Segment,15.761TL,11.525TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
1.440.000TL,25 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Visia,2020,134.000 km,Yarı Otomatik,Benzin,SUV,Gri,1332 cc,160 hp,Önden Çekiş,"5,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2019 - 2021,H Segment,15.261TL,11.594TL,4.0,270 nm,5500 rpm,1600 rpm,"10,1 sn",198 km/s,"5,4 lt","6,7 lt","4,6 lt",4394 mm,1806 mm,1590 mm,1863 kg,1315 kg,5.0,401 lt,215/60 R17,2646.0
2.225.000TL,25 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Sky Pack,2024,38.000 km,Otomatik,Benzin,SUV,Beyaz,1201 - 1400 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
667.000TL,25 Şubat 2026,Nissan,Juke,1.5 dCi Visia,2011,224.000 km,Düz,Dizel,SUV,Kırmızı,1461 cc,110 hp,Önden Çekiş,"5,1 lt",46 lt,"1 değişen, 3 boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Sol Arka Çamurluk Sol Ön Kapı Sol Ön Çamurluk,Sol Arka Kapı,-,2010 - 2013,B Segment,16.754TL,11.974TL,4.0,240 nm,4000 rpm,1750 rpm,"11,3 sn",175 km/s,"5,1 lt","6,1 lt","4,5 lt",4135 mm,1765 mm,1570 mm,1750 kg,1300 kg,5.0,251 lt,215/55 R17,2530.0
465.000TL,25 Şubat 2026,Nissan,Rally Raid,4x4,2004,438.000 km,Düz,Dizel,Hard top,Gri,2488 cc,133 hp,4WD (Sürekli),"8,9 lt",75 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2004 - 2010,K Segment,,,4.0,304 nm,4000 rpm,2000 rpm,"13,3 sn",160 km/s,"8,9 lt","10,6 lt",8 lt,5090 mm,1825 mm,1720 mm,2860 kg,1825 kg,5.0,,265/70 R16,2950.0
1.745.000TL,25 Şubat 2026,Nissan,Qashqai,1.3 DIG-T Platinum Premium Pack,2019,126.000 km,Yarı Otomatik,Benzin,SUV,Füme,1332 cc,160 hp,Önden Çekiş,"5,4 lt",55 lt,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,2019 - 2020,H Segment,16.546TL,10.523TL,4.0,270 nm,5500 rpm,1600 rpm,"10,1 sn",198 km/s,"5,4 lt","6,7 lt","4,6 lt",4394 mm,1806 mm,1590 mm,1863 kg,1315 kg,5.0,401 lt,225/45 R19,2646.0
1.315.000TL,25 Şubat 2026,Nissan,Qashqai,1.2 DIG-T Tekna,2018,124.000 km,Otomatik,Benzin,SUV,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,,,"1 değişen, 1 boyalı",Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sağ Ön Çamurluk Motor Kaputu Ön Tampon Arka Tampon,-,Sol Ön Çamurluk,Sol Ön Kapı,-,,,,,,,,,,,,,,,,,,,,,,
1.550.000TL,25 Şubat 2026,Nissan,Qashqai,1.6 dCi Black Edition,2017,128.600 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Galeriden,Sağ Arka Çamurluk Arka Kaput Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,
899.000TL,18 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna Sky Pack,2013,182.000 km,Düz,Dizel,SUV,Beyaz,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,"1 değişen, 2 boyalı",Galeriden,Sağ Arka Çamurluk Sol Arka Çamurluk Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Ön Tampon Arka Tampon,-,Arka Kaput Motor Kaputu,Sol Ön Çamurluk,-,2012 - 2014,H Segment,15.761TL,11.525TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
820.000TL,18 Şubat 2026,Nissan,Qashqai,1.5 dCi Tekna Premium Pack,2012,242.000 km,Düz,Dizel,SUV,Siyah,1461 cc,110 hp,Önden Çekiş,"5,1 lt",65 lt,"1 değişen, 2 boyalı",Galeriden,Sağ Arka Çamurluk Sağ Ön Kapı Tavan Sol Arka Kapı Sol Ön Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Çamurluk Sağ Arka Kapı,Arka Kaput,-,2012 - 2014,H Segment,15.761TL,13.508TL,4.0,240 nm,4000 rpm,2000 rpm,"12,2 sn",177 km/s,"5,1 lt","5,9 lt","4,7 lt",4330 mm,1783 mm,1615 mm,1930 kg,1407 kg,5.0,410 lt,215/65 R16,2630.0
1.119.750TL,18 Şubat 2026,Nissan,Qashqai,1.6 dCi Tekna,2015,189.000 km,Otomatik,Dizel,SUV,Kahverengi,1598 cc,130 hp,Önden Çekiş,"4,6 lt",55 lt,2 boyalı,Galeriden,Sağ Arka Çamurluk Arka Kaput Sağ Arka Kapı Sağ Ön Kapı Tavan Sol Arka Kapı Sağ Ön Çamurluk Motor Kaputu Sol Ön Çamurluk Ön Tampon Arka Tampon,-,Sol Arka Çamurluk Sol Ön Kapı,-,-,2014 - 2017,H Segment,18.918TL,11.055TL,4.0,320 nm,4000 rpm,1750 rpm,"10,7 sn",182 km/s,"4,6 lt","5,3 lt","4,2 lt",4379 mm,1800 mm,1590 mm,2005 kg,1461 kg,5.0,401 lt,225/45 R19,2646.0
